Tag;Class;Fc;Ft;Ry;Ru;E;Ec0;Ec1;Ec2;Ec1Red;Et1Red;Et0;Et1;Et2;Type;TypeCalc;Dampness
B15;15;-7650;750;0;0;16500000;-0.002;-0.000278182;-0.0035;-0.0015;0.00008;0.0001;2.73E-05;0.00015;1;2;0
B20;20;-10350;900;0;0;18000000;-0.002;-0.000345;-0.0035;-0.0015;0.00008;0.0001;0.00003;0.00015;1;2;0
B25;25;-13050;1050;0;0;19500000;-0.002;-0.000401538;-0.0035;-0.0015;0.00008;0.0001;3.23E-05;0.00015;1;2;0
B30;30;-15300;1150;0;0;21000000;-0.002;-0.000437143;-0.0035;-0.0015;0.00008;0.0001;3.29E-05;0.00015;1;2;0
B35;35;-17550;1300;0;0;22000000;-0.002;-0.000478636;-0.0035;-0.0015;0.00008;0.0001;3.55E-05;0.00015;1;2;0
B40;40;-19800;1400;0;0;23000000;-0.002;-0.000516522;-0.0035;-0.0015;0.00008;0.0001;3.65E-05;0.00015;1;2;0
B45;45;-22500;1500;0;0;23500000;-0.002;-0.000574468;-0.0035;-0.0015;0.00008;0.0001;3.83E-05;0.00015;1;2;0
B50;50;-24750;1600;0;0;24000000;-0.002;-0.00061875;-0.0035;-0.0015;0.00008;0.0001;0.00004;0.00015;1;2;0
B55;55;-27000;1700;0;0;24500000;-0.002;-0.000661224;-0.0035;-0.0015;0.00008;0.0001;4.16E-05;0.00015;1;2;0
B60;60;-29700;1800;0;0;25000000;-0.002;-0.0007128;-0.0035;-0.0015;0.00008;0.0001;0.0000432;0.00015;1;2;0
